Joke ID,Joke,Used,Posted
1,Waking up this morning was an eye opening experience.,TRUE,TRUE
2,"It doesn't matter how much you push the envelope, it will still be stationary.",TRUE,TRUE
3,Why can't your nose be 12 inches long? Because then it'd be a foot!,TRUE,FALSE
4,How do the trees get on the internet? They log on.,TRUE,TRUE
5,Why was the broom late for the meeting? He overswept.,TRUE,TRUE
6,"I'm so good at winking, I can wink both my eyes at the same time.",TRUE,FALSE
7,"Two fish are in a tank, one turns to the other and says, 'how do you drive this thing?'",TRUE,TRUE
8,"Can I watch the TV? Dad: Yes, but don’t turn it on.",TRUE,TRUE
9,What do you call a troublesome Canadian high schooler? A poutine.,TRUE,TRUE
10,How did Darth Vader know what Luke was getting for Christmas? He felt his presents.,FALSE,
11,"My new thesaurus is terrible. In fact, it's so bad, I'd say it's terrible.",FALSE,
12,My dog used to chase people on a bike a lot. It got so bad I had to take his bike away.,FALSE,
13,This is my step ladder. I never knew my real ladder.,FALSE,
14,I went on a date last night with a girl from the zoo. It was great. She’s a keeper.,FALSE,
15,I'm so good at sleeping that I can do it with my eyes closed!,FALSE,
16,What invention allows us to see through walls? Windows.,FALSE,
17,"I have a joke about hunting for fossils, but you probably wouldn’t dig it.",FALSE,
18,To the person who stole my place in line: I’m after you now.,FALSE,
19,"I used to hate facial hair, but then it grew on me.",FALSE,
20,What do you call a fish with no eyes? Fsh.,FALSE,
21,There's not really any training for garbagemen. They just pick things up as they go.,FALSE,
22,What do you call a magician who has lost their magic? Ian.,FALSE,
23,What do you call a bear with no teeth? A gummy bear.,FALSE,
24,"Doctor you've got to help me, I'm addicted to Twitter. Doctor: I don't follow you.",FALSE,
25,Why can't the sailor learn the alphabet? Because he kept getting lost at C.,FALSE,
26,"I used to run a dating service for chickens, but I was struggling to make hens meet.",FALSE,
27,What is a witch's favorite subject in school? Spelling!,FALSE,
28,How do you organize a space party? You planet.,FALSE,
29,"I have a joke about construction, but I’m still working on it.",FALSE,
30,"It’s raining cats and dogs, so be careful not to step in a poodle.",FALSE,
31,What do birds give out on Halloween? Tweets.,FALSE,
32,"If money doesn’t grow on trees, then why do banks have branches?",FALSE,
33,To the person who stole my depression medication: I hope you're happy now.,FALSE,
34,What's brown and sticky? A stick.,FALSE,
35,"Every time I take my dog to the park, the ducks try to bite him. That’s what I get for buying a pure bread dog.",FALSE,
36,Me and my mates are in a band called Duvet. We're a cover band.,FALSE,
37,"I have a joke about a roof, but it would just go over your head.",FALSE,
38,What’s orange and sounds like a parrot? A carrot.,FALSE,
39,"Shout out to my grandma, that's the only way she can hear.",FALSE,
40,I finally watched that documentary on clocks. It was about time.,FALSE,
41,"I have a few jokes about retired people, but none of them work.",FALSE,
42,What kind of jewelry do rabbits wear? 14 carrot gold.,FALSE,
43,"What did one plate say to another plate? Tonight, dinner's on me.",FALSE,
44,What sits on the seabed and has anxiety? A nervous wreck.,FALSE,
45,My boss asked me why I only get sick on work days. I said it must be my weekend immune system.,FALSE,
46,I don't trust stairs. They're always up to something.,FALSE,
47,I'd avoid the sushi if I were you — it's a little fishy!,FALSE,
48,To the person who stole my diary and then died: My thoughts are with your family.,FALSE,
49,How come the stadium got hot after the game? Because all of the fans left.,FALSE,
50,Where do armies belong? In your sleeves.,FALSE,
51,Did you hear about the king that went to the dentist? He needed to get crowns.,FALSE,
52,A man walks into a bar and orders helicopter flavor chips. The barman replies “sorry mate we only do plain”,FALSE,
53,How do you make Lady Gaga cry? Poker face.,FALSE,
54,"My dog is a genius. I asked him, ""What's two minus two?"" He said nothing.",FALSE,
55,"Mom is mad at me because she asked me to sync her phone, so I threw it in the ocean.",FALSE,
56,"I can tolerate algebra, maybe even a little calculus but geometry is where I draw the line.",FALSE,
57,"I'll call you later. Don't call me later, call me Dad.",FALSE,
58,"6:30 is my favorite time of day, hands down.",FALSE,
59,I just paid $100 for a belt that doesn’t fit — what a huge waist!,FALSE,
60,"We’re renovating the house, and the first floor is going great, but the second floor is another story.",FALSE,
61,"It’s hard to explain puns to kleptomaniacs, because they take everything literally.",FALSE,
62,To the person who stole my glasses: I will find you. I have contacts.,FALSE,
63,Have you heard about the new corduroy pillows — they're making headlines!,FALSE,
64,"I wanted to eat a watch for lunch, but it was too time-consuming.",FALSE,
65,Why is the ocean always blue? Because the shore never waves back.,FALSE,
66,"Mom texted me from the grocery store to say they’re out of pasta, and we’re penneless.",FALSE,
67,Why did the coach go to the bank? To get his quarter back.,FALSE,
68,What do you call a man wearing a rug on his head? Matt.,FALSE,
69,"If you want a job in the moisturizer industry, the best advice I can give is to apply daily.",FALSE,
70,What’s the best air to breathe if you want to be rich? Millionaire.,FALSE,
71,"Mahatma Gandhi, as you know, walked barefoot most of the time, which produced an impressive set of calluses on his feet. 
He also ate very little, which made him rather frail and with his odd diet, he suffered from bad breath. 
This made him a super calloused fragile mystic hexed by halitosis.",FALSE,
72,"I was going to go on an expensive vacation with a classical pianist, but he was too baroque.",FALSE,
73,To the person who stole my bed: I won't rest until I find you.,FALSE,
74,"I have a scary joke about math, but I'm 2² to say it.",FALSE,
75,"I had a joke about canned juice, but I couldn't concentrate.",FALSE,
76,Your mom and I let astrology get between us. It just Taurus apart.,FALSE,
77,"Why do pirates not know the alphabet? They always get stuck at ""C"".",FALSE,
78,I tried to make up a joke about ghost but I couldn't. It had plenty of spirit but no body.,FALSE,
79,"The wedding was so beautiful, even the cake was in tiers.",FALSE,
80,Why are basketball players messy eaters? Because they are always dribbling.,FALSE,
81,"I had a dream that I weighed less than a thousandth of a gram. I was like, 0mg.",FALSE,
82,Two guys walked into a bar. The third guy ducked.,FALSE,
83,I’m friends with almost all the letters of the alphabet. I just don’t know Y.,FALSE,
84,"I made a playlist for hiking. It has music from Peanuts, The Cranberries, and Eminem. I call it my Trail Mix.",FALSE,
85,"Every night, I have hard time remembering something, but then it dawns on me.",FALSE,
86,"I love telling Dad jokes. Sometimes, he even laughs.",FALSE,
87,Why was ten scared of seven? Because seven ate nine.,FALSE,
88,"I have a joke about the flu, but I hope you don’t get it.",FALSE,
89,"I have a joke about butter, but I’m not going to spread it.",FALSE,
90,What do you call a cow with two legs? Lean beef.,FALSE,
91,Why did the girl toss a clock out the window? She wanted to see time fly.,FALSE,
92,Did you hear that the police have a warrant out on a midget psychic ripping people off? It reads “Small medium at large.”,FALSE,
93,Why do scuba divers fall backwards into the water? Because if they fell forwards they’d still be in the boat.,FALSE,
94,"I'm reading an anti-gravity book, and I just can't put it down!",FALSE,
95,"I used to be a banker, but I lost interest.",FALSE,
96,To the person stole my laptop with my copy of Microsoft Office on it: I will find you. You have my Word!,FALSE,
97,"I have a joke about time travel, but you guys didn’t get it.",FALSE,
98,Why do nurses like red crayons? Sometimes they have to draw blood.,FALSE,
99,What has ears but cannot hear? A field of corn.,FALSE,
100,What happens when doctors get frustrated? They lose their patients.,FALSE,
101,"I love dad jokes, but I don't have kids, which makes me a Faux Pa.",FALSE,
102,"I have a joke about immortality, and it never gets old.",FALSE,
103,Why did the barber win the race? He took a short cut.,FALSE,
104,A magician was walking down the street — then he turned into a store.,FALSE,
105,Why is no one friends with Dracula? Because he's a pain in the neck.,FALSE,
106,"Justice is a dish best served cold. If it were served warm, it would be justwater.",FALSE,
107,Why didn’t the orange win the race? It ran out of juice.,FALSE,
108,"I have a joke about pizza, but it’s too cheesy.",FALSE,
109,My therapist told me I have problems expressing my emotions. Can’t say I’m surprised.,FALSE,
110,I saw a documentary on TV last night about how they put ships together.  It was rivetting.,FALSE,
111,"I have a joke about being an electrician, but it’s too shocking.",FALSE,
112,I failed my calculus exam because I was sitting in the middle of identical twins — I couldn’t differentiate between them.,FALSE,
113,A steak pun is a rare medium well done.,FALSE,
114,"What did celery say when he broke up with his girlfriend? She wasn't right for me, so I really don't carrot all.",FALSE,
115,I was wondering why the baseball kept getting bigger and bigger. Then it hit me.,FALSE,
116,What creature is smarter than a talking parrot? A spelling bee.,FALSE,
117,"I have a joke about procrastination, but I’ll tell it to you later.",FALSE,
118,Most people can’t tell the difference between entomology and etymology. I can’t find the words for how much this bugs me.,FALSE,
119,Did you hear the joke about the wandering nun? She was a roman catholic.,FALSE,
120,"I have a joke about being a rejected organ donor, but I just don't have the guts.",FALSE,
121,They tried to make a diamond shaped like a duck. It quacked under the pressure.,FALSE,
122,"At first, I thought my chiropractor wasn’t any good, but now I stand corrected.",FALSE,
123,"Remember, the best angle to approach a problem from is the ""try"" angle.",FALSE,
124,"I have a joke about kites, but it would just sail over your head.",FALSE,
125,Mom asked me to put ketchup on the grocery list. Now I can't see anything.,FALSE,
126,What do you get when you cross a chicken with a skunk? A fowl smell!,FALSE,
127,What should you do if you meet a giant? Use big words.,FALSE,
128,The urge to sing the Lion King song is just a whim away.,FALSE,
129,"I used to be able to play piano by ear, but now I have to use my hands.",FALSE,
130,Why did the worker get fired from the orange juice factory? Lack of concentration.,FALSE,
131,"Mom says I have no sense of direction, so I packed my bags and right.",FALSE,
132,"I have a joke about chemistry, but I don’t think it’ll get a reaction.",FALSE,
133,Two dyslexics walk into a bra.,FALSE,
134,How do you get a baby alien to sleep?  You rocket.,FALSE,
135,"Can anyone tell me what oblivious means, because I have no idea.",FALSE,
136,Time flies like an arrow. Fruit flies like a banana.,FALSE,
137,Two peanuts were walking down the street. One was a salted,FALSE,
138,"My boss told me to have a good day, so I went home!",FALSE,
139,"What is the difference between ignorance and apathy?

I don't know and I don't care.",FALSE,
140,Is there a hole in your shoe? No… Then how’d you get your foot in it?,FALSE,
141,"I was once a personal trainer, until I gave a too-weak notice.",FALSE,
142,How does a scientist freshen their breath? With experi-mints!,FALSE,
143,"Cosmetic surgery used to be such a taboo subject.
Now you can talk about Botox and nobody raises an eyebrow.",FALSE,
144,My boss told me to have a good day. So I went home...,FALSE,
145,Archaeology really is a career in ruins.,FALSE,
146,What do you call a dad that has fallen through the ice? A Popsicle.,FALSE,
147,I want to name my puppies Rolex and Timex so I can have watch dogs.,FALSE,
148,"Some people say that I never got over my obsession with Phil Collins.
But take a look at me now.",FALSE,
149,My wife told me to rub the herbs on the meat for better flavor. That's sage advice.,FALSE,
150,"It was so cold yesterday my computer froze. My own fault though, I left too many windows open.",FALSE,
151,How do you tell the difference between a crocodile and an alligator? You will see one later and one in a while.,FALSE,
152,"I have a joke about drilling, but it’s boring.",FALSE,
153,My boss told me to have a good day... so I went home.,FALSE,
154,"I have a joke about paper, but it’s tearable.",FALSE,
155,"Why do seagulls fly over the ocean? ""Because if they flew over the bay, we'd call them bagels.""",FALSE,
156,What kind of dinosaur loves to sleep? A stega-snore-us.,FALSE,
157,What do you call a nervous javelin thrower? Shakespeare.,FALSE,
158,Why did the opera singer go sailing? They wanted to hit the high Cs.,FALSE,
159,"I have a joke about a broken pencil, but it’s pointless.",FALSE,
160,Why is the new Kindle screen textured to look like paper? So you feel write at home.,FALSE,
161,Two peanuts went walking down the street. One was assaulted.,FALSE,
162," I never wanted to believe that my Dad was stealing from his job as a road worker. But when I got home, all the signs were there.

",FALSE,
163,"A guy walked into a bar, and lost the limbo contest.",FALSE,
164,When do doctors get angry? When they run out of patients.,FALSE,
165,"What’s the advantage of living in Switzerland? Well, the flag is a big plus.",FALSE,
166,I ordered a chicken and an egg online. I’ll let you know what comes first.,FALSE,
167,"Two fish are in a tank, one turns to the other and says, ""how do you drive this thing?""",FALSE,
168,Mom said I should do lunges to stay in shape. That would be a big step forward.,FALSE,
169,"A boy dug three holes in the yard. When his mother saw, she exclaimed: ""well, well, well""",FALSE,
170,My toddler is refusing to nap. He’s guilty of resisting a rest.,FALSE,
171,Don't tell secrets in corn fields. Too many ears around.,FALSE,
172,"I went to a book store and asked the saleswoman where the Self Help section was, she said if she told me it would defeat the purpose.",FALSE,
173,"I have a joke about a broken clock, but it’s not the right time.",FALSE,
174,Why do bees hum? Because they don't know the words.,FALSE,
175,I decided to sell the vacuum cleaner — it was just gathering dust!,FALSE,
176,Dermatologists are always in a hurry. They spend all day making rash decisions.,FALSE,
177,Why didn’t the skeleton cross the road? Because he had no guts.,FALSE,
178,What type of music do balloons hate? Pop music!,FALSE,
179,"RIP, boiling water. You will be mist.",FALSE,
180,Why do crabs never give to charity? Because they’re shellfish.,FALSE,
181,Why did Sweden start painting barcodes on the sides of their battleships? So they could Scandinavian.,FALSE,
182,Who did the wizard marry? His ghoul-friend,FALSE,
183,To the person who stole my case of energy drinks: I bet you can't sleep at night.,FALSE,
184,Why do bees have sticky hair? Because they use honey combs!,FALSE,
185,Why can't a bicycle stand on its own? It's two-tired.,FALSE,
186,The shovel was a ground-breaking invention.,FALSE,
187,Animal Fact #25: Most bobcats are not named bob.,FALSE,
188,"I have a joke about statistics, but it’s not significant.",FALSE,
189,Whiteboards ... are remarkable.,FALSE,
190,How many optometrists does it take to change a light bulb? 1 or 2? 1... or 2?,FALSE,
191,A magician was driving down the street and then he turned into a driveway.,FALSE,
192,"I have a joke about inferiority complexes, but it’s not very good.",FALSE,
193,What do you call a female snake. misssssssss,FALSE,
194,"What did the left eye say to the right eye? Between us, something smells!",FALSE,
195,Where do you learn to make banana splits? At sundae school.,FALSE,
196,"Yesterday I confused the words ""jacuzzi"" and ""yakuza"". Now I'm in hot water with the Japanese mafia.",FALSE,
197,"I tried taking some high resolution photos of local farmland, but they all turned out a bit grainy.",FALSE,
198,“My Dog has no nose.” “How does he smell?” “Awful”,FALSE,
199,The Swiss must've been pretty confident in their chances of victory if they included a corkscrew in their army knife.,FALSE,
200,How do you fix a broken pizza? With tomato paste.,FALSE,
201,"Some people say that comedians who tell one too many light bulb jokes soon burn out, but they don't know watt they are talking about. They're not that bright.",FALSE,
202,What don't watermelons get married? Because they cantaloupe.,FALSE,
203,What do you call cheese by itself? Provolone.,FALSE,
204,"I remember when I was a kid, I opened my fridge and noticed one of my vegetables were crying. I guess I have some emotional cabbage.",FALSE,
205,"I have a joke about trickle-down economics, but 99% of you will never get it.",FALSE,
206,How do hens stay fit? They always egg-cercise!,FALSE,
207,The biggest knight at King Arthur's round table was Sir Cumference. He acquired his size from eating too much pi.,FALSE,
208,Last night me and my girlfriend watched three DVDs back to back. Luckily I was the one facing the TV.,FALSE,
209,"Every morning when I go out, I get hit by bicycle. Every morning!  It's a vicious cycle.",FALSE,
210,What did one plate say to the other plate? Dinner is on me!,FALSE,
211,I ate a clock yesterday. It was so time consuming.,FALSE,
212,I thought about going on an all-almond diet. But that's just nuts.,FALSE,
213,I accidentally took my cats meds last night. Don’t ask meow.,FALSE,
214,"I don't trust sushi, there's something fishy about it.",FALSE,
215,How come a man driving a train got struck by lightning? He was a good conductor.,FALSE,
216,You know what they say about cliffhangers...,FALSE,
217,What do you call an elephant that doesn’t matter? An irrelephant.,FALSE,
218,Where does Napoleon keep his armies? In his sleevies.,FALSE,
