ID,JOKES,USED,POSTED
1,"I'm so good at sleeping I can do it with my eyes closed!",TRUE,TRUE
2,"This is my step ladder. I never knew my real ladder.",TRUE,TRUE
3,"I used to think I was indecisive but now I'm not sure.",TRUE,TRUE
4,"If you're not the dog at the dinner table, who's under it?",TRUE,TRUE
5,"I told my doctor I broke my arm in two places. He said stop going to those places.",TRUE,TRUE
6,"Why don't scientists trust atoms? Because they make up everything!",TRUE,TRUE
7,"I'm afraid of elevators but I'm willing to step up.",TRUE,TRUE
8,"I only know 25 letters of the alphabet. I don't know Y.",TRUE,TRUE
9,"What do you call a dinosaur that crashes his car? Tyrannosaurus Wrecks.",FALSE,FALSE
10,"I would tell you a joke about a roof but it would go over your head.",FALSE,FALSE
11,"What's the best thing about Switzerland? I don't know but the flag is a big plus.",FALSE,FALSE
12,"I stayed up all night wondering where the sun went. Then it dawned on me.",TRUE,TRUE
13,"I have a joke on construction but I'm still working on it.",FALSE,FALSE
14,"Why did the scarecrow win an award? He was outstanding in his field!",TRUE,TRUE
15,"I used to play piano by ear but now I use my hands.",TRUE,TRUE
16,"I'm reading a book on anti-gravity. It's impossible to put down!",TRUE,TRUE
17,"Did you hear about the claustrophobic astronaut? He just needed a little space.",TRUE,TRUE
18,,FALSE,FALSE
19,,FALSE,FALSE
20,,FALSE,FALSE
21,,FALSE,FALSE
22,,FALSE,FALSE
23,,FALSE,FALSE
24,,FALSE,FALSE
25,,FALSE,FALSE
26,,FALSE,FALSE
27,,FALSE,FALSE
28,,FALSE,FALSE
29,,FALSE,FALSE
30,,FALSE,FALSE
31,,FALSE,FALSE
32,,FALSE,FALSE
33,,FALSE,FALSE
34,,FALSE,FALSE
35,,FALSE,FALSE
36,,FALSE,FALSE
37,,FALSE,FALSE
38,,FALSE,FALSE
39,,FALSE,FALSE
40,,FALSE,FALSE
41,,FALSE,FALSE
42,,FALSE,FALSE
43,,FALSE,FALSE
44,,FALSE,FALSE
45,,FALSE,FALSE
46,,FALSE,FALSE
47,,FALSE,FALSE
48,,FALSE,FALSE
49,,FALSE,FALSE
50,,FALSE,FALSE
